timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1517682673902,4,addPersonRequest,200,OK,Ustawienia 1-1,,true,,70,217,1,1,4,0,1
1517682673906,2,addPersonRequest,200,OK,Ustawienia 1-1,,true,,70,218,1,1,2,0,0
1517682673908,1,addPersonRequest,200,OK,Ustawienia 1-1,,true,,70,221,1,1,1,0,0
1517682673909,2,addPersonRequest,200,OK,Ustawienia 1-1,,true,,70,217,1,1,2,0,0
1517682674116,3,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,443,129,1,2,2,0,1
1517682674119,1,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,443,129,1,2,1,0,0
1517682674120,1,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,443,129,1,2,1,0,0
1517682674121,2,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,443,129,1,2,2,0,0
1517682674123,1,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,443,129,1,2,1,0,0
1517682674124,3,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,443,129,2,3,3,0,0
1517682674125,3,getAllPersonRequestLoad,200,OK,Grupa wątków 2-2,text,true,,443,129,2,3,3,0,1
1517682674128,2,getAllPersonRequestLoad,200,OK,Grupa wątków 2-2,text,true,,443,129,2,3,2,0,0
1517682674127,4,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,443,129,2,3,3,0,0
1517682674130,1,getAllPersonRequestLoad,200,OK,Grupa wątków 2-2,text,true,,443,129,2,3,1,0,0
1517682674131,1,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,443,129,2,3,1,0,0
1517682674131,2,getAllPersonRequestLoad,200,OK,Grupa wątków 2-2,text,true,,443,129,2,3,2,0,0
1517682674132,1,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,443,129,2,3,1,0,0
1517682674133,1,getAllPersonRequestLoad,200,OK,Grupa wątków 2-2,text,true,,443,129,2,3,1,0,0
1517682674133,1,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,443,129,2,3,1,0,0
1517682674134,1,getAllPersonRequestLoad,200,OK,Grupa wątków 2-2,text,true,,443,129,2,3,1,0,0
1517682674134,1,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,443,129,2,3,1,0,0
